Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
AUTOROUTE A75 - AIRE DE L'AVEYRON,1.0,12150,12150006,44.330428713435,3.0815617808555005,Gazole,Sévérac-le-Château,1.5870491329479768,122700000,12270,Z,0,5,4069.0
AUTOROUTE A75 - AIRE DE L'AVEYRON,4.0,12150,12150006,44.330428713435,3.0815617808555005,GPLc,Sévérac-le-Château,0.978335260115607,122700000,12270,Z,0,5,4069.0
AUTOROUTE A75 - AIRE DE L'AVEYRON,5.0,12150,12150006,44.330428713435,3.0815617808555005,E10,Sévérac-le-Château,1.623682080924855,122700000,12270,Z,0,5,4069.0
AUTOROUTE A75 - AIRE DE L'AVEYRON,6.0,12150,12150006,44.330428713435,3.0815617808555005,SP98,Sévérac-le-Château,1.7336820809248554,122700000,12270,Z,0,5,4069.0
Rue du General de Gaulle,1.0,12150,12150003,44.3197,3.06825,Gazole,Sévérac-le-Château,1.4351489361702128,122700000,12270,Z,0,5,4069.0
Rue du General de Gaulle,2.0,12150,12150003,44.3197,3.06825,SP95,Sévérac-le-Château,1.479391304347826,122700000,12270,Z,0,5,4069.0
Rue du General de Gaulle,6.0,12150,12150003,44.3197,3.06825,SP98,Sévérac-le-Château,1.5271612903225806,122700000,12270,Z,0,5,4069.0
ZA le Plâ d'Aveyron RN88,1.0,12150,12150005,44.35064916,2.97184654,Gazole,Recoules-Prévinquières,1.4538709677419357,122700000,12270,Z,0,5,4069.0
ZA le Plâ d'Aveyron RN88,5.0,12150,12150005,44.35064916,2.97184654,E10,Recoules-Prévinquières,1.516904761904762,122700000,12270,Z,0,5,4069.0
ZA le Plâ d'Aveyron RN88,6.0,12150,12150005,44.35064916,2.97184654,SP98,Recoules-Prévinquières,1.5996,122700000,12270,Z,0,5,4069.0
 Avenue Maréchal de Lattre de Tassigny,1.0,88500,88500004,48.29234,6.13127,Gazole,MIRECOURT,1.5014117647058824,883040101,88304,H,0,4,1634.85104718368
 Avenue Maréchal de Lattre de Tassigny,5.0,88500,88500004,48.29234,6.13127,E10,MIRECOURT,1.536047058823529,883040101,88304,H,0,4,1634.85104718368
 Avenue Maréchal de Lattre de Tassigny,6.0,88500,88500004,48.29234,6.13127,SP98,MIRECOURT,1.646,883040101,88304,H,0,4,1634.85104718368
 Avenue de Bagnac,1.0,15600,15600001,44.7065,2.19514,Gazole,MAURS,1.5266470588235297,151220000,15122,Z,0,5,2111.0
 Avenue de Bagnac,4.0,15600,15600001,44.7065,2.19514,GPLc,MAURS,0.9557333333333332,151220000,15122,Z,0,5,2111.0
 Avenue de Bagnac,5.0,15600,15600001,44.7065,2.19514,E10,MAURS,1.544375,151220000,15122,Z,0,5,2111.0
 Avenue de Bagnac,6.0,15600,15600001,44.7065,2.19514,SP98,MAURS,1.64925,151220000,15122,Z,0,5,2111.0
