Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code
CHEMIN ST ANNE,5.0,6460,6460002,43.698,6.841,E10,Saint-Vallier-de-Thiey,1.867642857142857,061300000
CHEMIN ST ANNE,6.0,6460,6460002,43.698,6.841,SP98,Saint-Vallier-de-Thiey,1.947898148148148,061300000
CHÂTEAU FARINE,1.0,25000,25000024,47.222,5.963,Gazole,BESANCON,1.8771981707317076,250561204
CHÂTEAU FARINE,3.0,25000,25000024,47.222,5.963,E85,BESANCON,1.0733768996960489,250561204
CHÂTEAU FARINE,5.0,25000,25000024,47.222,5.963,E10,BESANCON,1.9354006116207951,250561204
CHÂTEAU FARINE,6.0,25000,25000024,47.222,5.963,SP98,BESANCON,2.007881458966565,250561204
CIAL LES PORTES DE LA MER,1.0,34400,34400013,43.683,4.152,Gazole,Lunel,1.7544493392070484,341450107
CIAL LES PORTES DE LA MER,3.0,34400,34400013,43.683,4.152,E85,Lunel,1.02225,341450107
CIAL LES PORTES DE LA MER,4.0,34400,34400013,43.683,4.152,GPLc,Lunel,0.9393846153846154,341450107
CIAL LES PORTES DE LA MER,5.0,34400,34400013,43.683,4.152,E10,Lunel,1.8084723618090448,341450107
CIAL LES PORTES DE LA MER,6.0,34400,34400013,43.683,4.152,SP98,Lunel,1.877895833333333,341450107
COMBE DU MAGNY,1.0,25490,25490001,47.519,6.916,Gazole,DAMPIERRE-LES-BOIS,1.775641304347826,251900000
COMBE DU MAGNY,3.0,25490,25490001,47.519,6.916,E85,DAMPIERRE-LES-BOIS,1.0488,251900000
COMBE DU MAGNY,5.0,25490,25490001,47.519,6.916,E10,DAMPIERRE-LES-BOIS,1.7964470588235295,251900000
COMBE DU MAGNY,6.0,25490,25490001,47.519,6.916,SP98,DAMPIERRE-LES-BOIS,1.8666543209876545,251900000
CONCESSIONNAIRE RENAULT -ROUTE D,1.0,9000,9000003,42.9496740212,1.62517428827,Gazole,FOIX,1.9018962264150945,091220106
CONCESSIONNAIRE RENAULT -ROUTE D,3.0,9000,9000003,42.9496740212,1.62517428827,E85,FOIX,1.0662857142857145,091220106
CONCESSIONNAIRE RENAULT -ROUTE D,5.0,9000,9000003,42.9496740212,1.62517428827,E10,FOIX,1.9327901234567904,091220106
CONCESSIONNAIRE RENAULT -ROUTE D,6.0,9000,9000003,42.9496740212,1.62517428827,SP98,FOIX,2.043,091220106
Route d'Espagne,1.0,9000,9000004,42.945742840923,1.6260957421248,Gazole,FOIX,1.7813777777777775,091220106
Route d'Espagne,1.0,9000,9000006,42.949216138418,1.6263515913231,Gazole,Foix,1.8125905511811025,091220106
Route d'Espagne,2.0,9000,9000006,42.949216138418,1.6263515913231,SP95,Foix,1.931049504950495,091220106
Route d'Espagne,3.0,9000,9000004,42.945742840923,1.6260957421248,E85,FOIX,1.054418181818182,091220106
Route d'Espagne,4.0,9000,9000006,42.949216138418,1.6263515913231,GPLc,Foix,1.0334,091220106
Route d'Espagne,5.0,9000,9000004,42.945742840923,1.6260957421248,E10,FOIX,1.8344285714285715,091220106
Route d'Espagne,5.0,9000,9000006,42.949216138418,1.6263515913231,E10,Foix,1.8906666666666667,091220106
Route d'Espagne,6.0,9000,9000004,42.945742840923,1.6260957421248,SP98,FOIX,1.9252105263157893,091220106
COSPILLOT,1.0,73120,73120002,45.4054730559,6.63734118324,Gazole,COURCHEVEL,1.917258064516129,732270000
COSPILLOT,2.0,73120,73120002,45.4054730559,6.63734118324,SP95,COURCHEVEL,2.0027241379310343,732270000
COSPILLOT,6.0,73120,73120002,45.4054730559,6.63734118324,SP98,COURCHEVEL,2.045714285714286,732270000
Le Carray,1.0,73120,73120001,45.41515,6.63731,Gazole,Courchevel,1.9714285714285715,732270000
Le Carray,2.0,73120,73120001,45.41515,6.63731,SP95,Courchevel,1.977142857142857,732270000
Le Carray,6.0,73120,73120001,45.41515,6.63731,SP98,Courchevel,2.032857142857143,732270000
COURS DE L'ARCHE GUEDON,1.0,77186,77186003,48.851,2.631,Gazole,NOISIEL,1.90682554517134,773370101
COURS DE L'ARCHE GUEDON,3.0,77186,77186003,48.851,2.631,E85,NOISIEL,1.068829721362229,773370101
COURS DE L'ARCHE GUEDON,5.0,77186,77186003,48.851,2.631,E10,NOISIEL,1.94997,773370101
COURS DE L'ARCHE GUEDON,6.0,77186,77186003,48.851,2.631,SP98,NOISIEL,2.01362457337884,773370101
COURS JEAN DE VIENNE,1.0,14600,14600007,49.413,0.25,Gazole,HONFLEUR,1.779659375,143330106
COURS JEAN DE VIENNE,2.0,14600,14600007,49.413,0.25,SP95,HONFLEUR,1.7865,143330106
COURS JEAN DE VIENNE,3.0,14600,14600007,49.413,0.25,E85,HONFLEUR,1.056101226993865,143330106
COURS JEAN DE VIENNE,4.0,14600,14600007,49.413,0.25,GPLc,HONFLEUR,0.979,143330106
COURS JEAN DE VIENNE,5.0,14600,14600007,49.413,0.25,E10,HONFLEUR,1.8513860294117648,143330106
COURS JEAN DE VIENNE,6.0,14600,14600007,49.413,0.25,SP98,HONFLEUR,1.9289714285714288,143330106
Zone Industrielle Portuaire,1.0,14600,14600003,49.41657,0.25936,Gazole,Honfleur,1.7759529411764703,143330106
Zone Industrielle Portuaire,2.0,14600,14600003,49.41657,0.25936,SP95,Honfleur,1.885,143330106
Zone Industrielle Portuaire,5.0,14600,14600003,49.41657,0.25936,E10,Honfleur,1.8381554054054057,143330106
Zone Industrielle Portuaire,6.0,14600,14600003,49.41657,0.25936,SP98,Honfleur,1.9190890410958903,143330106
CROAS DOM HERRY,1.0,22480,22480001,48.3066976252,-3.16397737542,Gazole,SAINT-NICOLAS-DU-PéLEM,1.7540547945205478,223210000
CROAS DOM HERRY,2.0,22480,22480001,48.3066976252,-3.16397737542,SP95,SAINT-NICOLAS-DU-PéLEM,1.8449850746268657,223210000
CROAS DOM HERRY,6.0,22480,22480001,48.3066976252,-3.16397737542,SP98,SAINT-NICOLAS-DU-PéLEM,1.884392857142857,223210000
KERJEAN / RD 790,1.0,22480,22480003,48.31,-3.156,Gazole,Saint-Nicolas-du-Pélem,1.874394957983193,223210000
KERJEAN / RD 790,5.0,22480,22480003,48.31,-3.156,E10,Saint-Nicolas-du-Pélem,1.9212857142857145,223210000
KERJEAN / RD 790,6.0,22480,22480003,48.31,-3.156,SP98,Saint-Nicolas-du-Pélem,2.0224032258064515,223210000
CS 50003,1.0,34475,34070002,43.570766061867,3.941656704366,Gazole,PEROLS,1.8119135802469133,341980101
CS 50003,4.0,34475,34070002,43.570766061867,3.941656704366,GPLc,PEROLS,0.9971234567901234,341980101
CS 50003,5.0,34475,34070002,43.570766061867,3.941656704366,E10,PEROLS,1.8376375,341980101
CS 50003,6.0,34475,34070002,43.570766061867,3.941656704366,SP98,PEROLS,1.9201625,341980101
CTRE CIAL EINDHOVEN RTE DE VAUX/AURE,1.0,14400,14400009,49.288,-0.704,Gazole,Bayeux,1.7685180722891567,140470301
CTRE CIAL EINDHOVEN RTE DE VAUX/AURE,5.0,14400,14400009,49.288,-0.704,E10,Bayeux,1.840829113924051,140470301
CTRE CIAL EINDHOVEN RTE DE VAUX/AURE,6.0,14400,14400009,49.288,-0.704,SP98,Bayeux,1.9220135135135137,140470301
CTRE COMMERCIAL BENISTA,1.0,20166,20166004,41.887,8.808,Gazole,GROSSETO-PRUGNA,1.864317073170732,2A1300000
CTRE COMMERCIAL BENISTA,2.0,20166,20166004,41.887,8.808,SP95,GROSSETO-PRUGNA,1.9277317073170728,2A1300000
Les Marines de Porticcio - Commune de Grosseto-Prugna,1.0,20166,20166006,41.8873,8.8077,Gazole,PORTICCIO,1.884117647058824,2A1300000
Les Marines de Porticcio - Commune de Grosseto-Prugna,2.0,20166,20166006,41.8873,8.8077,SP95,PORTICCIO,1.9435294117647055,2A1300000
Veta Porticcio,1.0,20166,20166005,41.898,8.81,Gazole,PORTICCIO,1.8574878048780488,2A1300000
Veta Porticcio,2.0,20166,20166005,41.898,8.81,SP95,PORTICCIO,1.9306585365853657,2A1300000
Cala Longa,1.0,20169,20169003,41.392,9.166,Gazole,Bonifacio,1.8903620689655172,2A0410000
Cala Longa,2.0,20169,20169003,41.392,9.166,SP95,Bonifacio,1.9604814814814813,2A0410000
Cala Longa,3.0,20169,20169003,41.392,9.166,E85,Bonifacio,1.99,2A0410000
sennola,1.0,20169,20169002,41.391,9.165,Gazole,BONIFACIO,1.8758545454545452,2A0410000
sennola,2.0,20169,20169002,41.391,9.165,SP95,BONIFACIO,1.935017857142857,2A0410000
"Canton de la Haute Landelle, Routes de Nantes",1.0,44430,44430004,47.2337883,-1.3669172,Gazole,Loroux-Bottereau,1.7340741989881956,440840000
"Canton de la Haute Landelle, Routes de Nantes",3.0,44430,44430004,47.2337883,-1.3669172,E85,Loroux-Bottereau,1.0098195615514334,440840000
"Canton de la Haute Landelle, Routes de Nantes",5.0,44430,44430004,47.2337883,-1.3669172,E10,Loroux-Bottereau,1.7862209106239462,440840000
"Canton de la Haute Landelle, Routes de Nantes",6.0,44430,44430004,47.2337883,-1.3669172,SP98,Loroux-Bottereau,1.872457191780822,440840000
Place Bretagne,1.0,44430,44430003,47.237,-1.35,Gazole,Le Loroux-Bottereau,1.7942941176470588,440840000
Place Bretagne,5.0,44430,44430003,47.237,-1.35,E10,Le Loroux-Bottereau,1.839952380952381,440840000
Place Bretagne,6.0,44430,44430003,47.237,-1.35,SP98,Le Loroux-Bottereau,1.900578947368421,440840000
Carrefour de l'Europe,1.0,68870,68870001,47.636,7.493,Gazole,BARTENHEIM,1.8010194805194808,680210000
Carrefour de l'Europe,3.0,68870,68870001,47.636,7.493,E85,BARTENHEIM,1.0366842105263157,680210000
Carrefour de l'Europe,5.0,68870,68870001,47.636,7.493,E10,BARTENHEIM,1.815158940397351,680210000
Carrefour de l'Europe,6.0,68870,68870001,47.636,7.493,SP98,BARTENHEIM,1.9056490066225165,680210000
Carrière Pierre Tockaert,1.0,59310,59310004,50.48,3.247,Gazole,Orchies,1.7684040404040404,594490102
Carrière Pierre Tockaert,3.0,59310,59310004,50.48,3.247,E85,Orchies,1.1157692307692306,594490102
Carrière Pierre Tockaert,5.0,59310,59310004,50.48,3.247,E10,Orchies,1.8339733333333332,594490102
Carrière Pierre Tockaert,6.0,59310,59310004,50.48,3.247,SP98,Orchies,1.908048780487805,594490102
route dpt 938 zone de l' europe,1.0,59310,59310006,50.46946111,3.22780197,Gazole,ORCHIES,1.7876440677966103,594490102
