Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur
route de Montfermeil,6.0,77500,77500004,4889216.0,258113.0,SP98,CHELLES,1.8999032258064517
route de Paris,1.0,89700,89700002,4787300.0,396700.0,Gazole,TONNERRE,1.7944363636363638
route de Paris,3.0,89700,89700002,4787300.0,396700.0,E85,TONNERRE,1.0314981818181816
route de Paris,5.0,89700,89700002,4787300.0,396700.0,E10,TONNERRE,1.8352490909090908
route de Paris,6.0,89700,89700002,4787300.0,396700.0,SP98,TONNERRE,1.9197
route de Perrigny,1.0,89000,89000003,4781100.0,353600.0,Gazole,SAINT-GEORGES-SUR-BAULCHE,1.8511739130434781
route de Perrigny,5.0,89000,89000003,4781100.0,353600.0,E10,SAINT-GEORGES-SUR-BAULCHE,1.9579473684210527
route de Perrigny,6.0,89000,89000003,4781100.0,353600.0,SP98,SAINT-GEORGES-SUR-BAULCHE,2.0084736842105264
route de Phalsbourg,1.0,57400,57400001,4873981.0,707009.0,Gazole,SARREBOURG,1.8263440860215052
route de Phalsbourg,3.0,57400,57400001,4873981.0,707009.0,E85,SARREBOURG,1.0317297297297296
route de Phalsbourg,4.0,57400,57400001,4873981.0,707009.0,GPLc,SARREBOURG,1.0045333333333333
route de Phalsbourg,5.0,57400,57400001,4873981.0,707009.0,E10,SARREBOURG,1.8728617021276597
route de Phalsbourg,6.0,57400,57400001,4873981.0,707009.0,SP98,SARREBOURG,1.9488918918918918
route de Pontchâteau,1.0,44530,44530003,4750937.0,-204035.0,Gazole,Saint-Gildas-des-Bois,1.7404827586206895
route de Pontchâteau,2.0,44530,44530003,4750937.0,-204035.0,SP95,Saint-Gildas-des-Bois,1.8539999999999999
route de Pontchâteau,6.0,44530,44530003,4750937.0,-204035.0,SP98,Saint-Gildas-des-Bois,1.892442105263158
route de Périgueux,1.0,24120,24120008,4512400.0,140800.0,Gazole,LA FEUILLADE,1.815725663716814
route de Périgueux,3.0,24120,24120008,4512400.0,140800.0,E85,LA FEUILLADE,1.041642857142857
route de Périgueux,5.0,24120,24120008,4512400.0,140800.0,E10,LA FEUILLADE,1.8520093457943925
route de Périgueux,6.0,24120,24120008,4512400.0,140800.0,SP98,LA FEUILLADE,1.9244814814814815
route de Romans,1.0,26600,26600007,4506863.2053,486562.184044,Gazole,TAIN-L'HERMITAGE,1.762767295597484
route de Romans,3.0,26600,26600007,4506863.2053,486562.184044,E85,TAIN-L'HERMITAGE,1.0534545454545454
route de Romans,5.0,26600,26600007,4506863.2053,486562.184044,E10,TAIN-L'HERMITAGE,1.8105592105263157
route de Romans,6.0,26600,26600007,4506863.2053,486562.184044,SP98,TAIN-L'HERMITAGE,1.8708399999999998
route de Samadet,1.0,64410,64410001,4353600.0,-41000.0,Gazole,ARZACQARRAZIGUET,1.7803749999999998
route de Samadet,2.0,64410,64410001,4353600.0,-41000.0,SP95,ARZACQARRAZIGUET,1.8799166666666667
route de Samadet,6.0,64410,64410001,4353600.0,-41000.0,SP98,ARZACQARRAZIGUET,1.9104324324324327
route de Sillé,1.0,53600,53600007,4815600.0,-40300.0,Gazole,Evron,1.7772830188679247
route de Sillé,2.0,53600,53600007,4815600.0,-40300.0,SP95,Evron,1.872845238095238
route de Sillé,3.0,53600,53600007,4815600.0,-40300.0,E85,Evron,1.0426875
route de Sisteron,1.0,04200,4200003,4414295.0,595926.0,Gazole,PEIPIN,1.7891666666666666
route de Sisteron,3.0,04200,4200003,4414295.0,595926.0,E85,PEIPIN,1.044590909090909
route de Sisteron,5.0,04200,4200003,4414295.0,595926.0,E10,PEIPIN,1.8442682926829268
route de Sisteron,6.0,04200,4200003,4414295.0,595926.0,SP98,PEIPIN,1.9162875
route de St Nazaire,1.0,44110,44110003,4770581.0,-138756.0,Gazole,CHâTEAUBRIANT,1.7452822719449226
route de St Nazaire,4.0,44110,44110003,4770581.0,-138756.0,GPLc,CHâTEAUBRIANT,0.8480379310344827
route de St Nazaire,5.0,44110,44110003,4770581.0,-138756.0,E10,CHâTEAUBRIANT,1.7956718213058418
route de St Nazaire,6.0,44110,44110003,4770581.0,-138756.0,SP98,CHâTEAUBRIANT,1.8772608695652173
route de Trélon,1.0,59440,59197001,5011800.0,394500.0,Gazole,AVESNELLES,1.8146288659793814
route de Trélon,2.0,59440,59197001,5011800.0,394500.0,SP95,AVESNELLES,1.874142857142857
route de Trélon,5.0,59440,59197001,5011800.0,394500.0,E10,AVESNELLES,1.8728134715025906
route de Trélon,6.0,59440,59197001,5011800.0,394500.0,SP98,AVESNELLES,1.9484663212435231
route de bastia,1.0,20137,20137006,4161400.0,928000.0,Gazole,Porto-Vecchio,1.91190625
route de bastia,2.0,20137,20137006,4161400.0,928000.0,SP95,Porto-Vecchio,1.97128125
route de bastia,4.0,20137,20137006,4161400.0,928000.0,GPLc,Porto-Vecchio,1.2053125
route de bayonne,1.0,64230,64233001,4331800.0,-42400.0,Gazole,LESCAR,1.8034804804804805
route de bayonne,2.0,64230,64233001,4331800.0,-42400.0,SP95,LESCAR,1.9069909365558915
route de bayonne,3.0,64230,64233001,4331800.0,-42400.0,E85,LESCAR,1.0538132295719844
route de bayonne,5.0,64230,64233001,4331800.0,-42400.0,E10,LESCAR,1.8557305389221557
route de bayonne,6.0,64230,64233001,4331800.0,-42400.0,SP98,LESCAR,1.928378048780488
route de beurriéres,1.0,63220,63220001,4541400.0,372500.0,Gazole,ARLANC,1.7981785714285714
route de beurriéres,2.0,63220,63220001,4541400.0,372500.0,SP95,ARLANC,1.8921500000000002
route de beurriéres,3.0,63220,63220001,4541400.0,372500.0,E85,ARLANC,1.0854
route de beurriéres,6.0,63220,63220001,4541400.0,372500.0,SP98,ARLANC,1.9291714285714285
route de brumath,1.0,67170,67170005,4875500.0,769000.0,Gazole,BERNOLSHEIM,1.7988041958041956
route de brumath,3.0,67170,67170005,4875500.0,769000.0,E85,BERNOLSHEIM,1.061090909090909
route de brumath,5.0,67170,67170005,4875500.0,769000.0,E10,BERNOLSHEIM,1.841669117647059
route de brumath,6.0,67170,67170005,4875500.0,769000.0,SP98,BERNOLSHEIM,1.9146999999999998
route de canet,1.0,66000,66962001,4270100.0,294400.0,Gazole,PERPIGNAN,1.774945945945946
route de canet,2.0,66000,66962001,4270100.0,294400.0,SP95,PERPIGNAN,1.8904226804123714
route de canet,3.0,66000,66962001,4270100.0,294400.0,E85,PERPIGNAN,1.0556580310880828
route de canet,5.0,66000,66962001,4270100.0,294400.0,E10,PERPIGNAN,1.8618698630136987
route de canet,6.0,66000,66962001,4270100.0,294400.0,SP98,PERPIGNAN,1.928813559322034
route de carpentras,1.0,84190,84190001,4411600.0,501600.0,Gazole,BEAUMES-DE-VENISE,1.9061388888888888
route de carpentras,3.0,84190,84190001,4411600.0,501600.0,E85,BEAUMES-DE-VENISE,1.240638888888889
