ID;Latitude;Longitude;CodePostal;Adresse;Ville;PrixNom;PrixID;PrixValeur,mean;Colonne1
60870002;4928900;250000;60870;Avenue des Pommiers;VILLERS-SAINT-PAUL;Gazole;1;1462,125;1,462125
60870002;4928900;250000;60870;Avenue des Pommiers;VILLERS-SAINT-PAUL;SP95;2;1582,25;1,58225
60870002;4928900;250000;60870;Avenue des Pommiers;VILLERS-SAINT-PAUL;E10;5;1505,111111;1,505111111
60870002;4928900;250000;60870;Avenue des Pommiers;VILLERS-SAINT-PAUL;SP98;6;1614;1,614
60870003;4928438,062;249186,2073;60870;ROCADE INDUSTRIELLE;Villers-Saint-Paul;Gazole;1;1452,311111;1,452311111
60870003;4928438,062;249186,2073;60870;ROCADE INDUSTRIELLE;Villers-Saint-Paul;E85;3;665,6888889;0,665688889
60870003;4928438,062;249186,2073;60870;ROCADE INDUSTRIELLE;Villers-Saint-Paul;E10;5;1516,944444;1,516944444
60870003;4928438,062;249186,2073;60870;ROCADE INDUSTRIELLE;Villers-Saint-Paul;SP98;6;1624,333333;1,624333333
61000001;4841808;7633;61000;38 Route de Fresnay;SAINT-GERMAIN-DU-CORB̩IS;Gazole;1;1436,729167;1,436729167
61000001;4841808;7633;61000;38 Route de Fresnay;SAINT-GERMAIN-DU-CORB̩IS;SP95;2;1552,5625;1,5525625
61000001;4841808;7633;61000;38 Route de Fresnay;SAINT-GERMAIN-DU-CORB̩IS;SP98;6;1585,020833;1,585020833
61000002;4843815;10224;61000;174 avenue Quakenbruck;ALEN̤ON;Gazole;1;1422,342105;1,422342105
61000002;4843815;10224;61000;174 avenue Quakenbruck;ALEN̤ON;SP95;2;1547,157895;1,547157895
61000002;4843815;10224;61000;174 avenue Quakenbruck;ALEN̤ON;SP98;6;1580,605263;1,580605263
61000005;4843961;10476;61000;71 Avenue de Quakenbruck;Alen̤on;Gazole;1;1427,531915;1,427531915
61000005;4843961;10476;61000;71 Avenue de Quakenbruck;Alen̤on;E10;5;1517,992908;1,517992908
